gym,fighter_count,example_fighters,google_search_url,google_places_query,resolved_address,latitude,longitude,elevation_m,elevation_ft,google_place_id,lookup_status,notes
"Family Fight Team (Novi Sad, SERBIA)",1,Bojan Mihajlovic,https://www.google.com/search?q=Family+Fight+Team+%28Novi+Sad%2C+SERBIA%29+MMA+gym+location+elevation,"Family Fight Team (Novi Sad, SERBIA)",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Fifty/50 - Falls Church, VA",1,Ryan Hall,https://www.google.com/search?q=Fifty%2F50+-+Falls+Church%2C+VA+MMA+gym+location+elevation,"Fifty/50 - Falls Church, VA",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Fight Club No1 - Moscow, Russia",1,Nikita Krylov,https://www.google.com/search?q=Fight+Club+No1+-+Moscow%2C+Russia+MMA+gym+location+elevation,"Fight Club No1 - Moscow, Russia",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Fight Fit Militia- Sunnighill, Johannesburg",1,Garreth McLellan,https://www.google.com/search?q=Fight+Fit+Militia-+Sunnighill%2C+Johannesburg+MMA+gym+location+elevation,"Fight Fit Militia- Sunnighill, Johannesburg",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Fight Fitness - Montequinto, Sevilla, Spain",1,Enrique Marin,https://www.google.com/search?q=Fight+Fitness+-+Montequinto%2C+Sevilla%2C+Spain+MMA+gym+location+elevation,"Fight Fitness - Montequinto, Sevilla, Spain",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Fight House,1,Eduarda Moura,https://www.google.com/search?q=Fight+House+MMA+gym+location+elevation,Fight House,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Fight Nights Gym - Moscow, RU",2,Ali Bagautinov; Konstantin Erokhin,https://www.google.com/search?q=Fight+Nights+Gym+-+Moscow%2C+RU+MMA+gym+location+elevation,"Fight Nights Gym - Moscow, RU",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Fight Ready,4,Adam Fugitt; Bruno Silva; JeongYeong Lee; Tracy Cortez,https://www.google.com/search?q=Fight+Ready+MMA+gym+location+elevation,Fight Ready,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Fight Ready - Scottsdale, AZ",9,Alatengheili; Chan Sung Jung; Frankie Saenz; Henry Cejudo; Hunter Azure,https://www.google.com/search?q=Fight+Ready+-+Scottsdale%2C+AZ+MMA+gym+location+elevation,"Fight Ready - Scottsdale, AZ",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Fighting Eagle,1,Shamil Abdurakhimov,https://www.google.com/search?q=Fighting+Eagle+MMA+gym+location+elevation,Fighting Eagle,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
FightMe Combat Sports,1,Niko Price,https://www.google.com/search?q=FightMe+Combat+Sports+MMA+gym+location+elevation,FightMe Combat Sports,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Fightzone & Durrant’s Gym London,1,Louie Sutherland,https://www.google.com/search?q=Fightzone+%26+Durrant%E2%80%99s+Gym+London+MMA+gym+location+elevation,Fightzone & Durrant’s Gym London,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Fightzone London,1,Mario Pinto,https://www.google.com/search?q=Fightzone+London+MMA+gym+location+elevation,Fightzone London,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"FinnFighters Gym - Turku, Finland",1,Teemu Packalen,https://www.google.com/search?q=FinnFighters+Gym+-+Turku%2C+Finland+MMA+gym+location+elevation,"FinnFighters Gym - Turku, Finland",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"FIT NHB Albuquerque, NM",2,Tim Means; Ty Miller,https://www.google.com/search?q=FIT+NHB+Albuquerque%2C+NM+MMA+gym+location+elevation,"FIT NHB Albuquerque, NM",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Fit NHB, Albuquerque, NM",1,Ray Borg,https://www.google.com/search?q=Fit+NHB%2C+Albuquerque%2C+NM+MMA+gym+location+elevation,"Fit NHB, Albuquerque, NM",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Fit plus martial arts / cole harbour Nova Scotia,1,TJ Grant,https://www.google.com/search?q=Fit+plus+martial+arts+%2F+cole+harbour+Nova+Scotia+MMA+gym+location+elevation,Fit plus martial arts / cole harbour Nova Scotia,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Five Rounds Academy,1,Vinicius Moreira,https://www.google.com/search?q=Five+Rounds+Academy+MMA+gym+location+elevation,Five Rounds Academy,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Floid Dnepropetrovsk,1,Maryna Moroz,https://www.google.com/search?q=Floid+Dnepropetrovsk+MMA+gym+location+elevation,Floid Dnepropetrovsk,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Fortis MMA,10,Austin Lingo; Damon Jackson; Fernie Garcia; Geoff Neal; Jacobe Smith,https://www.google.com/search?q=Fortis+MMA+MMA+gym+location+elevation,Fortis MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Freestyle Fighting Gym,1,Alexander Volkanovski,https://www.google.com/search?q=Freestyle+Fighting+Gym+MMA+gym+location+elevation,Freestyle Fighting Gym,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Freestyle MMA,2,Colby Thicknesse; Leon Shahbazyan,https://www.google.com/search?q=Freestyle+MMA+MMA+gym+location+elevation,Freestyle MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Frontline Academy - Oslo,2,Emil Meek; Jack Hermansson,https://www.google.com/search?q=Frontline+Academy+-+Oslo+MMA+gym+location+elevation,Frontline Academy - Oslo,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Fusion X-Cel,3,Alice Ardelean; Charles Johnson; Mauricio Ruffy,https://www.google.com/search?q=Fusion+X-Cel+MMA+gym+location+elevation,Fusion X-Cel,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Fusion Xcel,3,Hannah Goldy; Mike Davis; Phil Rowe,https://www.google.com/search?q=Fusion+Xcel+MMA+gym+location+elevation,Fusion Xcel,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gaea Project MMA,1,Karol Rosa,https://www.google.com/search?q=Gaea+Project+MMA+MMA+gym+location+elevation,Gaea Project MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Galpao da Luta / CTJ,1,Rafael Cerqueira,https://www.google.com/search?q=Galpao+da+Luta+%2F+CTJ+MMA+gym+location+elevation,Galpao da Luta / CTJ,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Gamebred Combat Club, Brisbane",1,Brendan O'Reilly,https://www.google.com/search?q=Gamebred+Combat+Club%2C+Brisbane+MMA+gym+location+elevation,"Gamebred Combat Club, Brisbane",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
GB Top Team,1,Lone’er Kavanagh,https://www.google.com/search?q=GB+Top+Team+MMA+gym+location+elevation,GB Top Team,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Genesis Training Center,1,Justin Gaethje,https://www.google.com/search?q=Genesis+Training+Center+MMA+gym+location+elevation,Genesis Training Center,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Ghost Arena,1,Farès Ziam,https://www.google.com/search?q=Ghost+Arena+MMA+gym+location+elevation,Ghost Arena,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Giants Team,1,Marcio Barbosa,https://www.google.com/search?q=Giants+Team+MMA+gym+location+elevation,Giants Team,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gibson MMA,1,Lance Gibson Jr.,https://www.google.com/search?q=Gibson+MMA+MMA+gym+location+elevation,Gibson MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Gile Ribeiro - Curitiba, Brazil",2,Augusto Sakai; Luan Chagas,https://www.google.com/search?q=Gile+Ribeiro+-+Curitiba%2C+Brazil+MMA+gym+location+elevation,"Gile Ribeiro - Curitiba, Brazil",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gintas Combat / BST Academy,1,Modestas Bukauskas,https://www.google.com/search?q=Gintas+Combat+%2F+BST+Academy+MMA+gym+location+elevation,Gintas Combat / BST Academy,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Glendale Fighting Club,1,Melsik Baghdasaryan,https://www.google.com/search?q=Glendale+Fighting+Club+MMA+gym+location+elevation,Glendale Fighting Club,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Glendale Fighting Club CA,2,Ronda Rousey; Travis Browne,https://www.google.com/search?q=Glendale+Fighting+Club+CA+MMA+gym+location+elevation,Glendale Fighting Club CA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Global Fight Gym,1,Alexander Volkov,https://www.google.com/search?q=Global+Fight+Gym+MMA+gym+location+elevation,Global Fight Gym,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Glory MMA & Fitness,9,Dakota Bush; Darrick Minner; Gina Mazany; James Krause; Jason Witt,https://www.google.com/search?q=Glory+MMA+%26+Fitness+MMA+gym+location+elevation,Glory MMA & Fitness,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Glover Teixeira Training Center,1,Keith Berish,https://www.google.com/search?q=Glover+Teixeira+Training+Center+MMA+gym+location+elevation,Glover Teixeira Training Center,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gnosis Combat Sports,1,Donte Johnson,https://www.google.com/search?q=Gnosis+Combat+Sports+MMA+gym+location+elevation,Gnosis Combat Sports,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Goat Shed,1,Alberto Montes,https://www.google.com/search?q=Goat+Shed+MMA+gym+location+elevation,Goat Shed,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Goat Shed Academy,1,Ailin Perez,https://www.google.com/search?q=Goat+Shed+Academy+MMA+gym+location+elevation,Goat Shed Academy,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gomes Fight Team,1,Jeisla Chaves,https://www.google.com/search?q=Gomes+Fight+Team+MMA+gym+location+elevation,Gomes Fight Team,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Good Guys MMA,1,Luis Gurule,https://www.google.com/search?q=Good+Guys+MMA+MMA+gym+location+elevation,Good Guys MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gor MMA,1,Bogdan Guskov,https://www.google.com/search?q=Gor+MMA+MMA+gym+location+elevation,Gor MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Goret’s Gym,1,Murtazali Magomedov,https://www.google.com/search?q=Goret%E2%80%99s+Gym+MMA+gym+location+elevation,Goret’s Gym,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gracie barra BH Belo Horizonte / Gracie barra Tx Texas,1,Juliana Lima,https://www.google.com/search?q=Gracie+barra+BH+Belo+Horizonte+%2F+Gracie+barra+Tx+Texas+MMA+gym+location+elevation,Gracie barra BH Belo Horizonte / Gracie barra Tx Texas,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Gracie Barra Holbrooks, Faber Jiu-Jitsu",1,Melissa Mullins,https://www.google.com/search?q=Gracie+Barra+Holbrooks%2C+Faber+Jiu-Jitsu+MMA+gym+location+elevation,"Gracie Barra Holbrooks, Faber Jiu-Jitsu",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gracie Barra Katy,1,Sage Northcutt,https://www.google.com/search?q=Gracie+Barra+Katy+MMA+gym+location+elevation,Gracie Barra Katy,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gracie Barra Lodz,1,Karolina Kowalkiewicz,https://www.google.com/search?q=Gracie+Barra+Lodz+MMA+gym+location+elevation,Gracie Barra Lodz,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gracie Barra The Woodlands,1,Alex Morono,https://www.google.com/search?q=Gracie+Barra+The+Woodlands+MMA+gym+location+elevation,Gracie Barra The Woodlands,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Gracie Fighter / Nick Diaz Academy - Lodi, CA",1,Nate Diaz,https://www.google.com/search?q=Gracie+Fighter+%2F+Nick+Diaz+Academy+-+Lodi%2C+CA+MMA+gym+location+elevation,"Gracie Fighter / Nick Diaz Academy - Lodi, CA",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gracie Fighter Stockton,1,Chelsea Chandler,https://www.google.com/search?q=Gracie+Fighter+Stockton+MMA+gym+location+elevation,Gracie Fighter Stockton,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gracie Jiu Jitsu Smeaton Grange,1,Jacob Malkoun,https://www.google.com/search?q=Gracie+Jiu+Jitsu+Smeaton+Grange+MMA+gym+location+elevation,Gracie Jiu Jitsu Smeaton Grange,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gracie New Jersey,1,Mickey Gall,https://www.google.com/search?q=Gracie+New+Jersey+MMA+gym+location+elevation,Gracie New Jersey,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gracie United,1,Kurt Holobaugh,https://www.google.com/search?q=Gracie+United+MMA+gym+location+elevation,Gracie United,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Great Britain Top Team,1,Shanelle Dyer,https://www.google.com/search?q=Great+Britain+Top+Team+MMA+gym+location+elevation,Great Britain Top Team,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Grove City BJJ,1,Josiah Harrell,https://www.google.com/search?q=Grove+City+BJJ+MMA+gym+location+elevation,Grove City BJJ,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Grudge Training Center,1,Rose Namajunas,https://www.google.com/search?q=Grudge+Training+Center+MMA+gym+location+elevation,Grudge Training Center,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Guam,1,Jon Tuck,https://www.google.com/search?q=Guam+MMA+gym+location+elevation,Guam,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Gumi MMA,1,Dooho Choi,https://www.google.com/search?q=Gumi+MMA+MMA+gym+location+elevation,Gumi MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Guram Fight Club,1,Otari Tanzilovi,https://www.google.com/search?q=Guram+Fight+Club+MMA+gym+location+elevation,Guram Fight Club,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Hakkei Gym Kanagawa, Japan",1,Takeya Mizugaki,https://www.google.com/search?q=Hakkei+Gym+Kanagawa%2C+Japan+MMA+gym+location+elevation,"Hakkei Gym Kanagawa, Japan",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Hammers Team - Nuremberg, BY Germany",2,Jarjis Danho; Jessin Ayari,https://www.google.com/search?q=Hammers+Team+-+Nuremberg%2C+BY+Germany+MMA+gym+location+elevation,"Hammers Team - Nuremberg, BY Germany",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Haosheng Fight Gym / Guangzhou Sport University,1,Zhu Kangjie,https://www.google.com/search?q=Haosheng+Fight+Gym+%2F+Guangzhou+Sport+University+MMA+gym+location+elevation,Haosheng Fight Gym / Guangzhou Sport University,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
HAVAS MMA,1,Seokhyeon Ko,https://www.google.com/search?q=HAVAS+MMA+MMA+gym+location+elevation,HAVAS MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Hawaii Elite MMA - Hawaii,4,Louis Smolka; Max Holloway; Russell Doane; Tyson Nam,https://www.google.com/search?q=Hawaii+Elite+MMA+-+Hawaii+MMA+gym+location+elevation,Hawaii Elite MMA - Hawaii,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Hayastan - North Hollywood, CA",1,Manny Gamburyan,https://www.google.com/search?q=Hayastan+-+North+Hollywood%2C+CA+MMA+gym+location+elevation,"Hayastan - North Hollywood, CA",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Headkicks MMA,1,Aaron Phillips,https://www.google.com/search?q=Headkicks+MMA+MMA+gym+location+elevation,Headkicks MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
High Altitude Martial Arts,2,Lauren Murphy; Maycee Barber,https://www.google.com/search?q=High+Altitude+Martial+Arts+MMA+gym+location+elevation,High Altitude Martial Arts,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Higher Level MMA,1,Paul Craig,https://www.google.com/search?q=Higher+Level+MMA+MMA+gym+location+elevation,Higher Level MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Holohan Martial Arts,1,Shauna Bannon,https://www.google.com/search?q=Holohan+Martial+Arts+MMA+gym+location+elevation,Holohan Martial Arts,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
House of Champions,2,Diana Belbita; Kyle Nelson,https://www.google.com/search?q=House+of+Champions+MMA+gym+location+elevation,House of Champions,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Hung Mun, Rome, Italy",1,Alessio Di Chirico,https://www.google.com/search?q=Hung+Mun%2C+Rome%2C+Italy+MMA+gym+location+elevation,"Hung Mun, Rome, Italy",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Ignite Jiu Jitsu & MMA,1,Gauge Young,https://www.google.com/search?q=Ignite+Jiu+Jitsu+%26+MMA+MMA+gym+location+elevation,Ignite Jiu Jitsu & MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Igor MMA,1,Josh Culibao,https://www.google.com/search?q=Igor+MMA+MMA+gym+location+elevation,Igor MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"IHP, American Combat Gym, Los Perros Sarnosos",1,Daniel Marcos,https://www.google.com/search?q=IHP%2C+American+Combat+Gym%2C+Los+Perros+Sarnosos+MMA+gym+location+elevation,"IHP, American Combat Gym, Los Perros Sarnosos",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Impact Fight Team - East Liverpool, OH",1,Joshua Stansbury,https://www.google.com/search?q=Impact+Fight+Team+-+East+Liverpool%2C+OH+MMA+gym+location+elevation,"Impact Fight Team - East Liverpool, OH",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Indy Boxing and Grappling - Indianapolis, IN",1,Andrew Holbrook,https://www.google.com/search?q=Indy+Boxing+and+Grappling+-+Indianapolis%2C+IN+MMA+gym+location+elevation,"Indy Boxing and Grappling - Indianapolis, IN",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Infinity Martial Arts,1,Yusuke Kasuya,https://www.google.com/search?q=Infinity+Martial+Arts+MMA+gym+location+elevation,Infinity Martial Arts,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Inside Muay Thai,1,Ariane Carnelossi,https://www.google.com/search?q=Inside+Muay+Thai+MMA+gym+location+elevation,Inside Muay Thai,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Intergated MMA, Brisbane Australia",1,Ben Nguyen,https://www.google.com/search?q=Intergated+MMA%2C+Brisbane+Australia+MMA+gym+location+elevation,"Intergated MMA, Brisbane Australia",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Izzy Style School Wrestling - IL,1,Erick Montano,https://www.google.com/search?q=Izzy+Style+School+Wrestling+-+IL+MMA+gym+location+elevation,Izzy Style School Wrestling - IL,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Izzystyle wrestling & VFS Chicago,1,Yair Rodriguez,https://www.google.com/search?q=Izzystyle+wrestling+%26+VFS+Chicago+MMA+gym+location+elevation,Izzystyle wrestling & VFS Chicago,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Jackson Wink MMA Academy - NM,10,Aaron Pico; Antonio Arroyo; Batgerel Danaa; Christian Edwards; Don'Tale Mayes,https://www.google.com/search?q=Jackson+Wink+MMA+Academy+-+NM+MMA+gym+location+elevation,Jackson Wink MMA Academy - NM,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Jaco Hybrid Training Center,3,Eddie Alvarez; Gilbert Burns; Michael Johnson,https://www.google.com/search?q=Jaco+Hybrid+Training+Center+MMA+gym+location+elevation,Jaco Hybrid Training Center,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Japan Top Team,1,Kai Asakura,https://www.google.com/search?q=Japan+Top+Team+MMA+gym+location+elevation,Japan Top Team,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Jeremy Horn's Elite Performance MMA,1,Sean O'Connell,https://www.google.com/search?q=Jeremy+Horn%27s+Elite+Performance+MMA+MMA+gym+location+elevation,Jeremy Horn's Elite Performance MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
JETSAAM GYM,1,Jiří Procházka,https://www.google.com/search?q=JETSAAM+GYM+MMA+gym+location+elevation,JETSAAM GYM,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Joel Diaz Boxing,18,Alistair Overeem; Alvaro Herrera; Anthony Birchak; Anthony Hamilton; Carlos Condit,https://www.google.com/search?q=Joel+Diaz+Boxing+MMA+gym+location+elevation,Joel Diaz Boxing,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Joker Chute Boxe/C1-MMA - Brooklyn, NY",1,Oluwale Bamgbose,https://www.google.com/search?q=Joker+Chute+Boxe%2FC1-MMA+-+Brooklyn%2C+NY+MMA+gym+location+elevation,"Joker Chute Boxe/C1-MMA - Brooklyn, NY",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
K Dojo Warrior Tribe,3,Albert Tumenov; Alexander Yakovlev; Azamat Murzakanov,https://www.google.com/search?q=K+Dojo+Warrior+Tribe+MMA+gym+location+elevation,K Dojo Warrior Tribe,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"K-Taro Dojo, Tokyo",1,Keita Nakamura,https://www.google.com/search?q=K-Taro+Dojo%2C+Tokyo+MMA+gym+location+elevation,"K-Taro Dojo, Tokyo",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
KageFit / Top Pressure Fight Team,1,Tre’ston Vines,https://www.google.com/search?q=KageFit+%2F+Top+Pressure+Fight+Team+MMA+gym+location+elevation,KageFit / Top Pressure Fight Team,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Kaizen MMA,1,Zviad Lazishvili,https://www.google.com/search?q=Kaizen+MMA+MMA+gym+location+elevation,Kaizen MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
